Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1959,1958-12-12,Fri,REG,A,West Virginia,L,63,101,NA
1959,1958-12-15,Mon,REG,H,South Carolina,W,68,61,NA
1959,1958-12-19,Fri,REG,A,Pennsylvania,W,66,57,NA
1959,1958-12-20,Sat,REG,A,Villanova,L,67,74,NA
1959,1958-12-29,Mon,REG,H,Michigan State,L,57,82,NA
1959,1958-12-30,Tue,REG,H,Yale,W,56,53,NA
1959,1958-12-31,Wed,REG,H,Louisville,W,57,54,NA
1959,1959-01-05,Mon,REG,A,Wake Forest,W,58,57,NA
1959,1959-01-07,Wed,REG,A,Maryland,L,33,64,NA
1959,1959-01-10,Sat,REG,H,North Carolina State,L,60,67,NA
1959,1959-01-13,Tue,REG,H,Clemson,W,45,41,NA
1959,1959-01-15,Thu,REG,A,Virginia,L,67,86,NA
1959,1959-01-17,Sat,REG,H,Maryland,W,78,69,NA
1959,1959-01-31,Sat,REG,H,Pittsburgh,W,75,66,NA
1959,1959-02-03,Tue,REG,A,South Carolina,W,80,72,NA
1959,1959-02-06,Fri,REG,H,North Carolina,L,80,89,NA
1959,1959-02-10,Tue,REG,A,North Carolina State,L,72,80,NA
1959,1959-02-14,Sat,REG,H,Navy,W,64,63,NA
1959,1959-02-17,Tue,REG,H,Wake Forest,W,85,78,NA
1959,1959-02-20,Fri,REG,H,Virginia,W,71,63,NA
1959,1959-02-28,Sat,REG,A,North Carolina,L,62,72,NA
1959,1959-03-05,Thu,CTOURN,H,Wake Forest,W,78,71,NA
1959,1959-03-06,Fri,CTOURN,N,North Carolina,L,71,74,NA
1960,1959-12-01,Tue,REG,H,Georgia Tech,L,49,59,NA
1960,1959-12-05,Sat,REG,H,Clemson,W,68,59,NA
1960,1959-12-12,Sat,REG,A,South Carolina,W,72,70,NA
1960,1959-12-18,Fri,REG,A,Alabama,W,78,60,NA
1960,1959-12-19,Sat,REG,N,Navy,W,76,71,NA
1960,1959-12-28,Mon,REG,H,Utah,W,63,52,NA
1960,1959-12-29,Tue,REG,N,North Carolina,L,53,75,NA
1960,1959-12-30,Wed,REG,H,Dayton,L,63,71,3OT
1960,1960-01-04,Mon,REG,H,Bucknell,W,72,36,NA
1960,1960-01-09,Sat,REG,H,North Carolina State,W,47,34,NA
1960,1960-01-12,Tue,REG,A,Clemson,W,50,41,NA
1960,1960-01-16,Sat,REG,H,Maryland,L,48,56,NA
1960,1960-01-30,Sat,REG,H,South Carolina,W,79,65,NA
1960,1960-02-03,Wed,REG,A,Wake Forest,L,63,80,NA
1960,1960-02-06,Sat,REG,A,Navy,W,58,48,NA
1960,1960-02-09,Tue,REG,A,North Carolina State,L,53,63,NA
1960,1960-02-13,Sat,REG,A,North Carolina,L,57,84,NA
1960,1960-02-16,Tue,REG,H,Virginia,W,78,66,NA
1960,1960-02-18,Thu,REG,A,Maryland,L,61,71,NA
1960,1960-02-20,Sat,REG,H,Wake Forest,L,64,83,NA
1960,1960-02-22,Mon,REG,A,Virginia,W,79,63,NA
1960,1960-02-27,Sat,REG,H,North Carolina,L,50,75,NA
1960,1960-03-03,Thu,CTOURN,H,South Carolina,W,82,69,NA
1960,1960-03-04,Fri,CTOURN,N,North Carolina,W,71,69,NA
1960,1960-03-05,Sat,CTOURN,H,Wake Forest,W,63,59,NA
1960,1960-03-08,Tue,NCAA,N,Princeton,W,84,60,NA
1960,1960-03-11,Fri,NCAA,N,Saint Joseph's,W,58,56,NA
1960,1960-03-12,Sat,NCAA,N,New York University,L,59,74,NA
1961,1960-12-03,Sat,REG,H,Louisiana State,W,80,74,OT
1961,1960-12-09,Fri,REG,H,Penn State,W,69,46,NA
1961,1960-12-10,Sat,REG,H,West Virginia,W,66,64,NA
1961,1960-12-12,Mon,REG,H,South Carolina,W,107,79,NA
1961,1960-12-15,Thu,REG,A,Clemson,W,75,58,NA
1961,1960-12-19,Mon,REG,A,Georgia Tech,W,61,48,NA
1961,1960-12-21,Wed,REG,A,Florida,W,83,64,NA
1961,1960-12-29,Thu,REG,H,Wyoming,W,86,59,NA
1961,1960-12-30,Fri,REG,H,Marquette,W,86,73,NA
1961,1960-12-31,Sat,REG,N,North Carolina,L,71,76,NA
1961,1961-01-03,Tue,REG,H,Navy,W,78,63,NA
1961,1961-01-07,Sat,REG,H,North Carolina State,W,81,67,NA
1961,1961-01-11,Wed,REG,A,Virginia,W,92,90,OT
1961,1961-01-14,Sat,REG,H,Maryland,W,70,62,NA
1961,1961-01-28,Sat,REG,H,Clemson,W,79,59,NA
1961,1961-01-31,Tue,REG,A,South Carolina,W,107,94,NA
1961,1961-02-04,Sat,REG,H,North Carolina,W,81,77,NA
1961,1961-02-07,Tue,REG,A,North Carolina State,L,59,61,NA
1961,1961-02-09,Thu,REG,H,Wake Forest,W,100,90,NA
1961,1961-02-14,Tue,REG,A,Wake Forest,L,89,103,NA
1961,1961-02-16,Thu,REG,A,Maryland,L,71,76,NA
1961,1961-02-18,Sat,REG,A,Navy,W,75,73,NA
1961,1961-02-20,Mon,REG,H,Virginia,W,77,66,NA
1961,1961-02-23,Thu,REG,N,Seton Hall,W,112,78,NA
1961,1961-02-25,Sat,REG,A,North Carolina,L,66,69,OT
1961,1961-03-02,Thu,CTOURN,H,Virginia,W,89,54,NA
1961,1961-03-03,Fri,CTOURN,H,South Carolina,W,92,75,NA
1961,1961-03-04,Sat,CTOURN,H,Wake Forest,L,81,96,NA
1962,1961-12-01,Fri,REG,H,Florida,W,80,58,NA
1962,1961-12-05,Tue,REG,H,Davidson,W,117,72,NA
1962,1961-12-08,Fri,REG,H,Louisville,W,86,56,NA
1962,1961-12-11,Mon,REG,H,Clemson,W,89,66,NA
1962,1961-12-13,Wed,REG,A,South Carolina,W,76,69,NA
1962,1961-12-15,Fri,REG,A,Duquesne,L,61,66,NA
1962,1961-12-16,Sat,REG,N,Arizona,W,78,47,NA
1962,1961-12-18,Mon,REG,A,West Virginia,W,69,65,NA
1962,1961-12-30,Sat,REG,N,Wake Forest,W,75,73,NA
1962,1962-01-03,Wed,REG,H,Penn State,W,95,55,NA
1962,1962-01-06,Sat,REG,H,North Carolina State,L,60,61,NA
1962,1962-01-11,Thu,REG,A,Clemson,W,104,96,NA
1962,1962-01-13,Sat,REG,H,Maryland,W,84,68,NA
1962,1962-01-27,Sat,REG,H,Wake Forest,W,82,68,NA
1962,1962-01-30,Tue,REG,H,South Carolina,W,89,73,NA
1962,1962-02-03,Sat,REG,H,North Carolina,W,79,57,NA
1962,1962-02-06,Tue,REG,A,North Carolina State,L,55,71,NA
1962,1962-02-10,Sat,REG,H,Virginia,W,101,75,NA
1962,1962-02-13,Tue,REG,A,Maryland,W,79,53,NA
1962,1962-02-15,Thu,REG,A,Wake Forest,L,79,97,NA
1962,1962-02-17,Sat,REG,H,Navy,W,91,72,NA
1962,1962-02-19,Mon,REG,A,Virginia,W,97,71,NA
1962,1962-02-24,Sat,REG,A,North Carolina,W,82,74,NA
1962,1962-03-01,Thu,CTOURN,H,Maryland,W,71,58,NA
1962,1962-03-02,Fri,CTOURN,H,Clemson,L,72,77,NA
1963,1962-12-01,Sat,REG,H,Davidson,W,76,68,NA
1963,1962-12-04,Tue,REG,H,South Carolina,W,95,63,NA
1963,1962-12-08,Sat,REG,H,Maryland,W,92,56,NA
1963,1962-12-11,Tue,REG,H,Vanderbilt,W,90,70,NA
1963,1962-12-13,Thu,REG,A,Clemson,W,92,67,NA
1963,1962-12-15,Sat,REG,A,Louisville,W,76,75,NA
1963,1962-12-18,Tue,REG,A,Davidson,L,69,72,NA
1963,1962-12-21,Fri,REG,A,Miami,L,69,71,NA
1963,1962-12-28,Fri,REG,H,Princeton,W,85,74,NA
1963,1962-12-29,Sat,REG,N,Wake Forest,W,113,87,NA
1963,1963-01-02,Wed,REG,H,Virginia,W,82,65,NA
1963,1963-01-05,Sat,REG,H,North Carolina State,W,78,52,NA
1963,1963-01-09,Wed,REG,A,Navy,W,85,70,NA
1963,1963-01-12,Sat,REG,H,Clemson,W,78,67,NA
1963,1963-01-26,Sat,REG,H,West Virginia,W,111,71,NA
1963,1963-01-29,Tue,REG,A,South Carolina,W,88,70,NA
1963,1963-02-02,Sat,REG,A,North Carolina,W,77,69,NA
1963,1963-02-06,Wed,REG,A,Wake Forest,W,97,66,NA
1963,1963-02-09,Sat,REG,A,North Carolina State,W,56,55,NA
1963,1963-02-13,Wed,REG,A,Virginia,W,79,74,NA
1963,1963-02-16,Sat,REG,H,Wake Forest,W,73,60,NA
1963,1963-02-19,Tue,REG,A,Maryland,W,76,70,NA
1963,1963-02-23,Sat,REG,H,North Carolina,W,106,93,NA
1963,1963-02-28,Thu,CTOURN,H,Virginia,W,89,70,NA
1963,1963-03-01,Fri,CTOURN,A,North Carolina State,W,82,65,NA
1963,1963-03-02,Sat,CTOURN,N,Wake Forest,W,68,57,NA
1963,1963-03-15,Fri,NCAA,N,New York University,W,81,76,NA
1963,1963-03-16,Sat,NCAA,N,Saint Joseph's,W,73,59,NA
1963,1963-03-22,Fri,NCAA,N,Loyola,L,75,94,NA
1963,1963-03-23,Sat,NCAA,N,Oregon State,W,85,63,NA
1964,1963-11-30,Sat,REG,H,Penn State,W,92,62,NA
1964,1963-12-06,Fri,REG,N,Ohio State,W,76,75,NA
1964,1963-12-07,Sat,REG,A,West Virginia,W,86,81,NA
1964,1963-12-11,Wed,REG,A,Vanderbilt,L,92,97,OT
1964,1963-12-14,Sat,REG,H,Clemson,W,75,52,NA
1964,1963-12-16,Mon,REG,A,South Carolina,W,77,70,NA
1964,1963-12-19,Thu,REG,H,Virginia,W,84,73,NA
1964,1963-12-21,Sat,REG,A,Michigan,L,67,83,NA
1964,1963-12-30,Mon,REG,N,Auburn,W,84,67,NA
1964,1963-12-31,Tue,REG,N,Kentucky,L,79,81,NA
1964,1964-01-04,Sat,REG,H,North Carolina State,W,91,70,NA
1964,1964-01-08,Wed,REG,A,Clemson,W,81,75,NA
1964,1964-01-11,Sat,REG,H,North Carolina,W,84,64,NA
1964,1964-01-25,Sat,REG,H,Tennessee,W,67,65,2OT
1964,1964-01-30,Thu,REG,H,South Carolina,W,80,67,NA
1964,1964-02-01,Sat,REG,H,Navy,W,121,63,NA
1964,1964-02-05,Wed,REG,A,North Carolina State,W,66,48,NA
1964,1964-02-08,Sat,REG,A,Maryland,W,104,72,NA
1964,1964-02-10,Mon,REG,A,Virginia,W,80,59,NA
1964,1964-02-15,Sat,REG,H,Davidson,W,82,75,NA
