Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
2012,21,1/29/2012,Sun,REG,H,Georgia Tech,NA,ACC,W,93,81,NA,18,3,W 3,Dean Smith Center
2012,22,1/31/2012,Tue,REG,A,Wake Forest,NA,ACC,W,68,53,NA,19,3,W 4,Lawrence Joel Coliseum
2012,23,2/4/2012,Sat,REG,A,Maryland,NA,ACC,W,83,74,NA,20,3,W 5,Comcast Center
2012,24,2/8/2012,Wed,REG,H,Duke,10,ACC,L,84,85,NA,20,4,L 1,Dean Smith Center
2012,25,2/11/2012,Sat,REG,H,Virginia,19,ACC,W,70,52,NA,21,4,W 1,Dean Smith Center
2012,26,2/15/2012,Wed,REG,A,Miami,NA,ACC,W,73,64,NA,22,4,W 2,BankUnited Center
2012,27,2/18/2012,Sat,REG,H,Clemson,NA,ACC,W,74,52,NA,23,4,W 3,Dean Smith Center
2012,28,2/21/2012,Tue,REG,A,North Carolina State,NA,ACC,W,86,74,NA,24,4,W 4,RBC Center
2012,29,2/25/2012,Sat,REG,A,Virginia,25,ACC,W,54,51,NA,25,4,W 5,John Paul Jones Arena
2012,30,2/29/2012,Wed,REG,H,Maryland,NA,ACC,W,88,64,NA,26,4,W 6,Dean Smith Center
2012,31,3/3/2012,Sat,REG,A,Duke,4,ACC,W,88,70,NA,27,4,W 7,Cameron Indoor Stadium
2012,32,3/9/2012,Fri,CTOURN,N,Maryland,NA,ACC,W,85,69,NA,28,4,W 8,Philips Arena
2012,33,3/10/2012,Sat,CTOURN,N,North Carolina State,NA,ACC,W,69,67,NA,29,4,W 9,NA
2012,34,3/11/2012,Sun,CTOURN,N,Florida State,17,ACC,L,82,85,NA,29,5,L 1,NA
2012,35,3/16/2012,Fri,NCAA,N,Vermont,NA,AEC,W,77,58,NA,30,5,W 1,Greensboro Coliseum
2012,36,3/18/2012,Sun,NCAA,N,Creighton,19,MVC,W,87,73,NA,31,5,W 2,NA
2012,37,3/23/2012,Fri,NCAA,N,Ohio,NA,MAC,W,73,65,OT,32,5,W 3,NA
2012,38,3/25/2012,Sun,NCAA,N,Kansas,6,Big 12,L,67,80,NA,32,6,L 1,NA
2013,1,11/9/2012,Fri,REG,H,Gardner-Webb,NA,Big South,W,76,59,NA,1,0,W 1,Dean Smith Center
2013,2,11/11/2012,Sun,REG,H,Florida Atlantic,NA,Sun Belt,W,80,56,NA,2,0,W 2,Dean Smith Center
2013,3,11/16/2012,Fri,REG,A,Long Beach State,NA,Big West,W,78,63,NA,3,0,W 3,The Walter Pyramid
2013,4,11/19/2012,Mon,REG,N,Mississippi State,NA,SEC,W,95,49,NA,4,0,W 4,NA
2013,5,11/20/2012,Tue,REG,N,Butler,NA,A-10,L,71,82,NA,4,1,L 1,NA
2013,6,11/21/2012,Wed,REG,A,Chaminade,NA,NA,W,112,70,NA,5,1,W 1,Lahaina Civic Center
2013,7,11/27/2012,Tue,REG,A,Indiana,1,Big Ten,L,59,83,NA,5,2,L 1,Assembly Hall
2013,8,12/1/2012,Sat,REG,H,Alabama-Birmingham,NA,CUSA,W,102,84,NA,6,2,W 1,Dean Smith Center
2013,9,12/8/2012,Sat,REG,H,East Tennessee State,NA,A-Sun,W,78,55,NA,7,2,W 2,Dean Smith Center
2013,10,12/15/2012,Sat,REG,H,East Carolina,NA,CUSA,W,93,87,NA,8,2,W 3,Dean Smith Center
2013,11,12/19/2012,Wed,REG,A,Texas,NA,Big 12,L,67,85,NA,8,3,L 1,Frank Erwin Center
2013,12,12/22/2012,Sat,REG,H,McNeese State,NA,Southland,W,97,63,NA,9,3,W 1,Dean Smith Center
