Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1964,1964-02-12,Wed,REG,A,New York University,L,68,69,NA
1964,1964-02-14,Fri,REG,N,Clemson,L,90,97,NA
1964,1964-02-15,Sat,REG,N,South Carolina,W,84,81,NA
1964,1964-02-18,Tue,REG,A,Maryland,L,64,74,NA
1964,1964-02-22,Sat,REG,A,North Carolina State,L,49,51,NA
1964,1964-02-24,Mon,REG,A,Virginia,L,64,79,NA
1964,1964-02-29,Sat,REG,H,Duke,L,69,104,NA
1964,1964-03-05,Thu,CTOURN,H,South Carolina,W,80,63,NA
1964,1964-03-06,Fri,CTOURN,N,Duke,L,49,65,NA
1965,1964-12-01,Tue,REG,H,Clemson,W,77,59,NA
1965,1964-12-03,Thu,REG,A,Georgia,L,61,64,NA
1965,1964-12-05,Sat,REG,A,South Carolina,W,82,71,NA
1965,1964-12-07,Mon,REG,H,Kentucky,W,82,67,NA
1965,1964-12-10,Thu,REG,H,Tulane,W,111,74,NA
1965,1964-12-12,Sat,REG,A,Indiana,L,81,107,NA
1965,1964-12-14,Mon,REG,N,Vanderbilt,W,84,78,NA
1965,1964-12-18,Fri,REG,N,Mississippi State,W,84,80,NA
1965,1964-12-19,Sat,REG,N,Alabama,L,61,66,NA
1965,1964-12-21,Mon,REG,A,Florida,L,54,73,NA
1965,1965-01-04,Mon,REG,A,Maryland,L,68,76,NA
1965,1965-01-06,Wed,REG,A,Wake Forest,L,85,107,NA
1965,1965-01-09,Sat,REG,A,Duke,W,65,62,NA
1965,1965-01-13,Wed,REG,H,North Carolina State,L,62,65,NA
1965,1965-01-16,Sat,REG,A,Virginia,W,87,80,NA
1965,1965-01-30,Sat,REG,H,Maryland,L,80,91,NA
1965,1965-02-06,Sat,REG,N,New York University,W,100,78,NA
1965,1965-02-09,Tue,REG,H,Wake Forest,W,107,91,NA
1965,1965-02-17,Wed,REG,A,North Carolina State,W,69,68,NA
1965,1965-02-19,Fri,REG,N,South Carolina,W,76,63,NA
1965,1965-02-20,Sat,REG,N,Clemson,W,86,84,NA
1965,1965-02-23,Tue,REG,H,Virginia,W,105,101,NA
1965,1965-02-27,Sat,REG,H,Duke,W,71,66,NA
1965,1965-03-04,Thu,CTOURN,H,Wake Forest,L,76,92,NA
1966,1965-12-01,Wed,REG,A,Clemson,L,74,84,NA
1966,1965-12-04,Sat,REG,H,William & Mary,W,82,68,NA
1966,1965-12-06,Mon,REG,A,Ohio State,W,82,72,NA
1966,1965-12-08,Wed,REG,H,Richmond,W,127,76,NA
1966,1965-12-11,Sat,REG,A,Vanderbilt,L,72,81,NA
1966,1965-12-16,Thu,REG,H,Florida State,W,115,80,NA
1966,1965-12-18,Sat,REG,N,Florida,W,66,59,NA
1966,1965-12-27,Mon,REG,N,Princeton,W,75,61,NA
1966,1965-12-30,Thu,REG,N,Utah,W,90,85,NA
1966,1965-12-31,Fri,REG,H,West Virginia,L,97,102,NA
1966,1966-01-03,Mon,REG,H,Maryland,W,67,52,NA
1966,1966-01-05,Wed,REG,A,Wake Forest,W,99,83,NA
1966,1966-01-08,Sat,REG,H,Duke,L,77,88,NA
1966,1966-01-12,Wed,REG,H,North Carolina State,W,83,75,NA
1966,1966-01-15,Sat,REG,A,Virginia,L,69,70,NA
1966,1966-02-03,Thu,REG,H,Wake Forest,W,115,87,NA
1966,1966-02-05,Sat,REG,A,Maryland,L,66,76,NA
1966,1966-02-07,Mon,REG,H,South Carolina,W,104,70,NA
