Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1955,19,1955-02-09,Wed,REG,A,Wake Forest,NA,ACC,W,75,73,NA,14,5,W 3,Gore Gymnasium
1955,20,1955-02-12,Sat,REG,A,Navy,NA,Ind,W,76,56,NA,15,5,W 4,Bancroft Hall Gym
1955,21,1955-02-15,Tue,REG,A,North Carolina State,7,ACC,L,78,84,NA,15,6,L 1,Reynolds Coliseum
1955,22,1955-02-19,Sat,REG,H,Wake Forest,NA,ACC,W,84,65,NA,16,6,W 1,Cameron Indoor Stadium
1955,23,1955-02-22,Tue,REG,A,Virginia,NA,ACC,W,106,92,NA,17,6,W 2,Memorial Gymnasium
1955,24,1955-02-25,Fri,REG,H,North Carolina,NA,ACC,W,96,74,NA,18,6,W 3,Cameron Indoor Stadium
1955,25,1955-03-03,Thu,CTOURN,H,South Carolina,NA,ACC,W,83,67,NA,19,6,W 4,Reynolds Coliseum
1955,26,1955-03-04,Fri,CTOURN,H,Virginia,NA,ACC,W,90,77,OT,20,6,W 5,Reynolds Coliseum
1955,27,1955-03-05,Sat,CTOURN,A,North Carolina State,5,ACC,L,77,87,NA,20,7,L 1,Reynolds Coliseum
1955,28,1955-03-08,Tue,NCAA,N,Villanova,NA,Ind,L,73,74,NA,20,8,L 2,NA
1956,1,1955-12-02,Fri,REG,H,Clemson,NA,ACC,W,97,63,NA,1,0,W 1,Cameron Indoor Stadium
1956,2,1955-12-09,Fri,REG,H,South Carolina,NA,ACC,W,82,67,NA,2,0,W 2,Cameron Indoor Stadium
1956,3,1955-12-10,Sat,REG,H,Georgia Tech,NA,SEC,W,87,66,NA,3,0,W 3,Cameron Indoor Stadium
1956,4,1955-12-16,Fri,REG,A,Pennsylvania,NA,Ivy,W,98,80,NA,4,0,W 4,The Palestra
1956,5,1955-12-17,Sat,REG,A,Villanova,NA,Ind,W,86,76,NA,5,0,W 5,The Palestra
1956,6,1955-12-20,Tue,REG,A,Pittsburgh,NA,Ind,W,92,54,NA,6,0,W 6,Fitzgerald Fieldhouse
1956,7,1955-12-29,Thu,REG,H,Wyoming,NA,MSAC,W,71,54,NA,7,0,W 7,Raleigh Memorial Auditorium
1956,8,1955-12-30,Fri,REG,N,North Carolina,4,ACC,L,64,74,NA,7,1,L 1,Raleigh Memorial Auditorium
1956,9,1955-12-31,Sat,REG,N,Wake Forest,NA,ACC,W,64,52,NA,8,1,W 1,Raleigh Memorial Auditorium
1956,10,1956-01-04,Wed,REG,A,Wake Forest,NA,ACC,L,71,84,NA,8,2,L 1,Gore Gymnasium
1956,11,1956-01-07,Sat,REG,H,North Carolina State,2,ACC,W,68,58,NA,9,2,W 1,Cameron Indoor Stadium
1956,12,1956-01-10,Tue,REG,A,South Carolina,NA,ACC,W,63,52,NA,10,2,W 2,Carolina Fieldhouse
1956,13,1956-01-11,Wed,REG,A,Clemson,NA,ACC,W,109,80,NA,11,2,W 3,Clemson Field House
1956,14,1956-01-14,Sat,REG,H,Maryland,NA,ACC,W,76,62,NA,12,2,W 4,Cameron Indoor Stadium
1956,15,1956-02-01,Wed,REG,A,Kentucky,8,SEC,L,76,81,NA,12,3,L 1,Memorial Coliseum
1956,16,1956-02-04,Sat,REG,H,North Carolina,9,ACC,W,64,59,NA,13,3,W 1,Cameron Indoor Stadium
1956,17,1956-02-07,Tue,REG,A,Maryland,NA,ACC,W,82,70,NA,14,3,W 2,Cole Fieldhouse
1956,18,1956-02-09,Thu,REG,H,Virginia,NA,ACC,W,74,59,NA,15,3,W 3,Cameron Indoor Stadium
1956,19,1956-02-11,Sat,REG,H,Wake Forest,NA,ACC,L,77,80,NA,15,4,L 1,Cameron Indoor Stadium
1956,20,1956-02-14,Tue,REG,A,North Carolina State,5,ACC,L,81,90,NA,15,5,L 2,Reynolds Coliseum
1956,21,1956-02-18,Sat,REG,H,Navy,NA,Ind,W,93,70,NA,16,5,W 1,Cameron Indoor Stadium
1956,22,1956-02-21,Tue,REG,A,Virginia,NA,ACC,W,92,58,NA,17,5,W 2,Memorial Gymnasium
1956,23,1956-02-24,Fri,REG,A,North Carolina,9,ACC,L,65,73,NA,17,6,L 1,Woollen Gymnasium
1956,24,1956-02-25,Sat,REG,H,George Washington,19,Southern,W,90,71,NA,18,6,W 1,Cameron Indoor Stadium
1956,25,1956-03-01,Thu,CTOURN,H,Maryland,NA,ACC,W,94,69,NA,19,6,W 2,Reynolds Coliseum
1956,26,1956-03-02,Fri,CTOURN,A,North Carolina State,5,ACC,L,79,91,NA,19,7,L 1,Reynolds Coliseum
1957,1,1956-11-30,Fri,REG,A,Georgia Tech,NA,SEC,W,71,61,NA,1,0,W 1,Alexander Memorial Coliseum
1957,2,1956-12-04,Tue,REG,A,Clemson,NA,ACC,W,84,78,NA,2,0,W 2,Clemson Field House
1957,3,1956-12-05,Wed,REG,H,South Carolina,NA,ACC,W,104,76,NA,3,0,W 3,Charlotte Coliseum
1957,4,1956-12-14,Fri,REG,A,Alabama,9,SEC,W,89,78,NA,4,0,W 4,Birmingham City Auditorium
1957,5,1956-12-15,Sat,REG,N,West Virginia,13,Southern,L,82,83,NA,4,1,L 1,Birmingham City Auditorium
1957,6,1956-12-18,Tue,REG,H,Kentucky,7,SEC,W,85,84,NA,5,1,W 1,Cameron Indoor Stadium
1957,7,1956-12-27,Thu,REG,H,West Virginia,4,Southern,W,73,67,NA,6,1,W 2,Reynolds Coliseum
1957,8,1956-12-28,Fri,REG,N,North Carolina,2,ACC,L,71,87,NA,6,2,L 1,Raleigh Memorial Auditorium
1957,9,1956-12-29,Sat,REG,A,North Carolina State,NA,ACC,L,80,102,NA,6,3,L 2,Reynolds Coliseum
1957,10,1957-01-05,Sat,REG,H,North Carolina State,NA,ACC,W,92,85,NA,7,3,W 1,Cameron Indoor Stadium
1957,11,1957-01-10,Thu,REG,A,Maryland,NA,ACC,L,51,62,NA,7,4,L 1,Cole Fieldhouse
1957,12,1957-01-12,Sat,REG,H,Clemson,NA,ACC,W,80,70,NA,8,4,W 1,Cameron Indoor Stadium
